isd,district,county,enrollment_2021,english_learners_2021,el_share_pct,classification,locale,has_public_seizure_plan
139,RUSH CITY PUBLIC SCHOOL DISTRICT,Chisago County,863,6,0.7,FOUND_MED_POLICY_ONLY,Rural,0
111,Watertown-Mayer Public School Dist,Carver County,1499,11,0.7,FOUND_SEIZURE_SPECIFIC,Rural,1
2168,NRHEG SCHOOL DISTRICT,Waseca County,834,5,0.6,FOUND_MED_POLICY_ONLY,Rural,0
756,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,Steele County,833,5,0.6,FOUND_SEIZURE_SPECIFIC,Rural,1
252,CANNON FALLS PUBLIC SCHOOL DISTRICT,Goodhue County,1087,6,0.6,FOUND_MED_POLICY_ONLY,Rural,0
709,DULUTH PUBLIC SCHOOL DISTRICT,St. Louis County,8487,53,0.6,FOUND_SEIZURE_SPECIFIC,City,1
482,LITTLE FALLS PUBLIC SCHOOL DISTRICT,Morrison County,2440,14,0.6,FOUND_MED_POLICY_ONLY,Town,0
88,NEW ULM PUBLIC SCHOOL DISTRICT,Brown County,2083,12,0.6,FOUND_SEIZURE_SPECIFIC,Town,1
578,PINE CITY PUBLIC SCHOOL DISTRICT,Pine County,1572,10,0.6,FOUND_MED_POLICY_ONLY,Rural,0
2342,WEST CENTRAL AREA,Grant County,765,4,0.5,FOUND_MED_POLICY_ONLY,Rural,0
22,DETROIT LAKES PUBLIC SCHOOL DIST.,Becker County,2805,15,0.5,FOUND_SEIZURE_SPECIFIC,Town,1
463,EDEN VALLEY-WATKINS SCHOOL DISTRICT,Meeker County,926,5,0.5,FOUND_MED_POLICY_ONLY,Rural,0
700,HERMANTOWN PUBLIC SCHOOL DISTRICT,St. Louis County,2098,10,0.5,FOUND_MED_POLICY_ONLY,Rural,0
332,MORA PUBLIC SCHOOL DISTRICT,Kanabec County,1607,8,0.5,FOUND_MED_POLICY_ONLY,Rural,0
277,WESTONKA PUBLIC SCHOOL DISTRICT,Hennepin County,2425,11,0.5,FOUND_SEIZURE_SPECIFIC,Rural,1
213,OSAKIS PUBLIC SCHOOL DISTRICT,Douglas County,856,4,0.5,NOT_VERIFIABLE,Rural,0
484,PIERZ PUBLIC SCHOOL DISTRICT,Morrison County,1249,6,0.5,NOT_VERIFIABLE,Rural,0
2174,PINE RIVER-BACKUS SCHOOL DISTRICT,Cass County,915,5,0.5,FOUND_MED_POLICY_ONLY,Rural,0
2805,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,Goodhue County,1240,6,0.5,FOUND_MED_POLICY_ONLY,Rural,0
2149,MINNEWASKA SCHOOL DISTRICT,Pope County,1353,5,0.4,FOUND_SEIZURE_SPECIFIC,Rural,1
181,BRAINERD PUBLIC SCHOOL DISTRICT,Crow Wing County,6306,24,0.4,FOUND_SEIZURE_SPECIFIC,Town,1
300,LA CRESCENT-HOKAH SCHOOL DISTRICT,Houston County,1069,4,0.4,FOUND_MED_POLICY_ONLY,Suburb,0
